inn,time,AuthorisedK_RUB09,log.revenue,log.sales,log.NTA,ROA105,ROE,log.gross_profit,V1,m.AK,m.log.revenue,m.log.sales,m.log.NTA,m.ROA105,m.ROE,m.log.gross_profit,winner,win,connected,people,Data_registracii,ind,key
1001000358,2008,402873000,22.3047895480412,22.3679386450912,11.9640010906999,0.1086,0.15,17.7522261759828,1001000358,0,1,1,0,0,0,0,0,0,0,0,1995,Manuf,10010003582008
1001000358,2009,402873000,25.2968215091652,25.0730928071196,10.9331069875744,0.0979,-0.347,17.3900448102934,1001000358,0,1,1,0,0,0,1,0,0,0,0,1995,Manuf,10010003582009
1001000358,2010,402873000,21.6551995764897,21.6116985114921,10.5186732186534,0.0414,-0.0459,10.3417424834673,1001000358,0,1,1,0,0,0,1,0,0,0,0,1995,Manuf,10010003582010
1001000358,2011,402873000,17.9267614002527,17.5881105635697,9.39266201210347,-0.0619,-0.0183,13.4687859448787,1001000358,0,1,1,0,0,0,0,0,1,0,0,1995,Manuf,10010003582011
1001000358,2012,402873000,21.3643452127367,21.005431974562,9.21034047197618,-0.0158,-0.2692,16.8901464291137,1001000358,0,0,0,0,0,0,0,0,1,0,0,1995,Manuf,10010003582012
1001000358,2013,402873000,21.6592180096798,21.2979323635709,9.10497996742946,-0.0328,6.6779,19.1084384272279,1001000358,0,0,0,0,0,0,0,0,1,0,0,1995,Manuf,10010003582013
1001000358,2014,402873000,21.5081025597969,21.3840731767596,8.85366557089458,-0.1181,3.1105,19.5565856060552,1001000358,0,0,0,0,0,0,1,0,1,0,0,1995,Manuf,10010003582014
1001000358,2015,402873000,21.2012165542699,21.1847079205302,14.363631967052,0.0463,0.3447,18.6372507366951,1001000358,0,1,1,1,1,1,1,0,1,0,0,1995,Manuf,10010003582015
1001000358,2016,402873000,21.0095456767293,20.0543858126295,18.7880977844299,0.0423,-0.0853,10.3417424834673,1001000358,0,1,1,1,1,1,1,0,1,0,0,1995,Manuf,10010003582016
1001061713,2008,8000,14.8586101367021,18.9062500963022,11.9250351224196,0.2175,0.0438,13.5357966551617,1001061713,0,1,1,1,0,0,0,0,0,0,0,1996,Manuf,10010617132008
1001061713,2009,8000,12.4450895460007,19.3292698946395,12.8293337013069,0.2971,0.3051,15.6671100275483,1001061713,0,1,1,1,0,0,0,0,0,0,0,1996,Manuf,10010617132009
1001061713,2010,8000,23.4969706860848,22.8720751964787,11.4403547828881,0.3973,0.8741,16.5868484983024,1001061713,0,1,1,1,0,1,0,0,0,0,0,1996,Manuf,10010617132010
1001061713,2011,8000,20.3107262637162,20.2065579465222,7.60090295954196,0.3508,0.3906,16.7370040815827,1001061713,0,1,1,1,0,0,0,0,0,0,0,1996,Manuf,10010617132011
1001061713,2012,8000,19.2593601432968,19.0145378353651,13.4386329081657,0.3478,0.3146,16.8230725832718,1001061713,0,0,0,1,0,0,0,0,0,0,0,1996,Manuf,10010617132012
